Zn,Cu,Li,Fe,Ni,NH4,SO4,NO3
0.0,0.0,0.3498,0.0,0.9724,0.2002,1.0725,0.3498
0.0,0.0,0.3498,0.0,0.9724,0.4004,1.1726,0.3498
0.0,0.0,0.3498,0.2156,0.0,0.0,0.0,0.9966
0.0,0.0,0.3498,0.2156,0.0,0.2002,0.1001,0.9966
0.0,0.0,0.3498,0.2156,0.0,0.4004,0.2002,0.9966
0.0,0.0,0.3498,0.2156,0.0,0.6006,0.3003,0.9966
0.0,0.0,0.3498,0.2156,0.0,0.8008,0.4004,0.9966
0.0,0.0,0.3498,0.2156,0.2431,0.0,0.2431,0.9966
0.0,0.0,0.3498,0.2156,0.2431,0.2002,0.3432,0.9966
0.0,0.0,0.3498,0.2156,0.2431,0.4004,0.4433,0.9966
0.0,0.0,0.3498,0.2156,0.2431,0.6006,0.5434,0.9966
0.0,0.0,0.3498,0.2156,0.2431,0.8008,0.6435,0.9966
0.0,0.0,0.3498,0.2156,0.4862,0.0,0.4862,0.9966
0.0,0.0,0.3498,0.2156,0.4862,0.2002,0.5863,0.9966
0.0,0.0,0.3498,0.2156,0.4862,0.4004,0.6864,0.9966
0.0,0.0,0.3498,0.2156,0.4862,0.6006,0.7865,0.9966
0.0,0.0,0.3498,0.2156,0.7293,0.0,0.7293,0.9966
0.0,0.0,0.3498,0.2156,0.7293,0.2002,0.8294,0.9966
0.0,0.0,0.3498,0.2156,0.7293,0.4004,0.9295,0.9966
0.0,0.0,0.3498,0.2156,0.9724,0.0,0.9724,0.9966
0.0,0.0,0.3498,0.2156,0.9724,0.2002,1.0725,0.9966
0.0,0.0,0.3498,0.4312,0.0,0.0,0.0,1.6434
0.0,0.0,0.3498,0.4312,0.0,0.2002,0.1001,1.6434
0.0,0.0,0.3498,0.4312,0.0,0.4004,0.2002,1.6434
0.0,0.0,0.3498,0.4312,0.0,0.6006,0.3003,1.6434
0.0,0.0,0.3498,0.4312,0.0,0.8008,0.4004,1.6434
0.0,0.0,0.3498,0.4312,0.2431,0.0,0.2431,1.6434
0.0,0.0,0.3498,0.4312,0.2431,0.2002,0.3432,1.6434
0.0,0.0,0.3498,0.4312,0.2431,0.4004,0.4433,1.6434
0.0,0.0,0.3498,0.4312,0.2431,0.6006,0.5434,1.6434
0.0,0.0,0.3498,0.4312,0.4862,0.0,0.4862,1.6434
0.0,0.0,0.3498,0.4312,0.4862,0.2002,0.5863,1.6434
0.0,0.0,0.3498,0.4312,0.4862,0.4004,0.6864,1.6434
0.0,0.0,0.3498,0.4312,0.7293,0.0,0.7293,1.6434
0.0,0.0,0.3498,0.4312,0.7293,0.2002,0.8294,1.6434
0.0,0.0,0.3498,0.4312,0.9724,0.0,0.9724,1.6434
0.0,0.0,0.3498,0.6468,0.0,0.0,0.0,2.2902
0.0,0.0,0.3498,0.6468,0.0,0.2002,0.1001,2.2902
0.0,0.0,0.3498,0.6468,0.0,0.4004,0.2002,2.2902
0.0,0.0,0.3498,0.6468,0.0,0.6006,0.3003,2.2902
0.0,0.0,0.3498,0.6468,0.2431,0.0,0.2431,2.2902
0.0,0.0,0.3498,0.6468,0.2431,0.2002,0.3432,2.2902
0.0,0.0,0.3498,0.6468,0.2431,0.4004,0.4433,2.2902
0.0,0.0,0.3498,0.6468,0.4862,0.0,0.4862,2.2902
0.0,0.0,0.3498,0.6468,0.4862,0.2002,0.5863,2.2902
0.0,0.0,0.3498,0.6468,0.7293,0.0,0.7293,2.2902
0.0,0.0,0.3498,0.8624,0.0,0.0,0.0,2.937
